Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2024-10-18 15:06,Close entry(s) order Long,56084.05,1,55691.9,12551.6,0.64,18112.23,0.93,-614.51,-0.03,12551.6,0.13
1,Entry long,2024-10-18 11:40,Long,55691.9,1,55691.9,12551.6,0.64,18112.23,0.93,-614.51,-0.03,12551.6,0.13
2,Exit long,2024-10-21 09:31,Close entry(s) order Long,56256.05,1,56356.1,-4684.18,-0.24,3433.26,0.17,-4730.49,-0.24,7867.43,0.08
2,Entry long,2024-10-21 09:16,Long,56356.1,1,56356.1,-4684.18,-0.24,3433.26,0.17,-4730.49,-0.24,7867.43,0.08
3,Exit short,2024-10-21 10:04,Close entry(s) order Short,56200.25,1,56046.1,-6573.84,-0.34,5254.77,0.27,-6573.48,-0.34,1293.59,0.01
3,Entry short,2024-10-21 09:39,Short,56046.1,1,56046.1,-6573.84,-0.34,5254.77,0.27,-6573.48,-0.34,1293.59,0.01
4,Exit short,2024-10-21 13:13,Close entry(s) order Short,55846.1,1,55854.1,-892.85,-0.05,3331.78,0.17,-3806.47,-0.19,400.74,0.00
4,Entry short,2024-10-21 11:33,Short,55854.1,1,55854.1,-892.85,-0.05,3331.78,0.17,-3806.47,-0.19,400.74,0.00
5,Exit long,2024-10-21 14:44,Close entry(s) order Long,55912.55,1,55976.35,-3407.83,-0.17,2203.5,0.11,-4782.5,-0.24,-3007.1,-0.03
5,Entry long,2024-10-21 13:20,Long,55976.35,1,55976.35,-3407.83,-0.17,2203.5,0.11,-4782.5,-0.24,-3007.1,-0.03
6,Exit short,2024-10-22 09:20,Close entry(s) order Short,55936.1,1,55855.1,-4008.81,-0.21,3144.52,0.16,-3491.48,-0.18,-7015.9,-0.07
6,Entry short,2024-10-21 15:05,Short,55855.1,1,55855.1,-4008.81,-0.21,3144.52,0.16,-3491.48,-0.18,-7015.9,-0.07
7,Exit long,2024-10-22 10:17,Close entry(s) order Long,55916.35,1,56043.05,-5610.07,-0.29,3368.3,0.17,-5421.95,-0.28,-12625.98,-0.13
7,Entry long,2024-10-22 09:45,Long,56043.05,1,56043.05,-5610.07,-0.29,3368.3,0.17,-5421.95,-0.28,-12625.98,-0.13
8,Exit short,2024-10-22 14:10,Close entry(s) order Short,55478.1,1,55717.95,7227.19,0.37,11202.96,0.57,-6571.79,-0.34,-5398.79,-0.05
8,Entry short,2024-10-22 10:29,Short,55717.95,1,55717.95,7227.19,0.37,11202.96,0.57,-6571.79,-0.34,-5398.79,-0.05
9,Exit long,2024-10-22 14:19,Close entry(s) order Long,55484.1,1,55563.3,-3938,-0.20,354.59,0.02,-3810.41,-0.20,-9336.78,-0.09
9,Entry long,2024-10-22 14:12,Long,55563.3,1,55563.3,-3938,-0.20,354.59,0.02,-3810.41,-0.20,-9336.78,-0.09
10,Exit short,2024-10-23 09:29,Close entry(s) order Short,55326.3,1,55376.1,580.62,0.03,10230.05,0.53,-2056.7,-0.11,-8756.16,-0.09
10,Entry short,2024-10-22 15:01,Short,55376.1,1,55376.1,580.62,0.03,10230.05,0.53,-2056.7,-0.11,-8756.16,-0.09
11,Exit short,2024-10-23 09:49,Close entry(s) order Short,55266.2,1,55056.1,-8511.88,-0.44,527.91,0.03,-8075.09,-0.42,-17268.04,-0.17
11,Entry short,2024-10-23 09:40,Short,55056.1,1,55056.1,-8511.88,-0.44,527.91,0.03,-8075.09,-0.42,-17268.04,-0.17
12,Exit short,2024-10-23 12:49,Close entry(s) order Short,55154.95,1,55098.95,-3117.67,-0.16,0,0.00,-3315.54,-0.17,-20385.71,-0.20
12,Entry short,2024-10-23 12:14,Short,55098.95,1,55098.95,-3117.67,-0.16,0,0.00,-3315.54,-0.17,-20385.71,-0.20
