Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-10-18 08:48,Close entry(s) order Long,67933,1,67779,113.29,0.17,480.67,0.71,-52.83,-0.08,113.29,0.00
1,Entry long,2024-10-18 07:14,Long,67779,1,67779,113.29,0.17,480.67,0.71,-52.83,-0.08,113.29,0.00
2,Exit short,2024-10-18 10:00,Close entry(s) order Short,67832.5,1,67783.5,-89.68,-0.13,237.66,0.35,-80.84,-0.12,23.6,0.00
2,Entry short,2024-10-18 09:12,Short,67783.5,1,67783.5,-89.68,-0.13,237.66,0.35,-80.84,-0.12,23.6,0.00
3,Exit long,2024-10-18 12:20,Close entry(s) order Long,68028,1,67894,93.22,0.14,484.13,0.71,-105.37,-0.16,116.83,0.00
3,Entry long,2024-10-18 11:06,Long,67894,1,67894,93.22,0.14,484.13,0.71,-105.37,-0.16,116.83,0.00
4,Exit short,2024-10-18 14:40,Close entry(s) order Short,68017.5,1,67899,-159.27,-0.23,38.13,0.06,-189.87,-0.28,-42.45,0.00
4,Entry short,2024-10-18 13:22,Short,67899,1,67899,-159.27,-0.23,38.13,0.06,-189.87,-0.28,-42.45,0.00
5,Exit short,2024-10-18 15:58,Close entry(s) order Short,67954,1,67825.5,-169.23,-0.25,40.15,0.06,-173.85,-0.26,-211.68,0.00
5,Entry short,2024-10-18 15:05,Short,67825.5,1,67825.5,-169.23,-0.25,40.15,0.06,-173.85,-0.26,-211.68,0.00
6,Exit long,2024-10-18 16:50,Close entry(s) order Long,67899.5,1,67995,-136.27,-0.20,31.6,0.05,-115.9,-0.17,-347.95,0.00
6,Entry long,2024-10-18 16:44,Long,67995,1,67995,-136.27,-0.20,31.6,0.05,-115.9,-0.17,-347.95,0.00
7,Exit short,2024-10-18 18:34,Close entry(s) order Short,67851.5,1,67781,-111.19,-0.16,105.17,0.16,-95.33,-0.14,-459.14,0.00
7,Entry short,2024-10-18 17:16,Short,67781,1,67781,-111.19,-0.16,105.17,0.16,-95.33,-0.14,-459.14,0.00
8,Exit long,2024-10-18 19:02,Close entry(s) order Long,67781,1,67915.5,-175.21,-0.26,0,0.00,-154.87,-0.23,-634.35,-0.01
8,Entry long,2024-10-18 18:54,Long,67915.5,1,67915.5,-175.21,-0.26,0,0.00,-154.87,-0.23,-634.35,-0.01
9,Exit long,2024-10-18 19:20,Close entry(s) order Long,67894.5,1,67971,-117.26,-0.17,202.11,0.30,-142.39,-0.21,-751.61,-0.01
9,Entry long,2024-10-18 19:09,Long,67971,1,67971,-117.26,-0.17,202.11,0.30,-142.39,-0.21,-751.61,-0.01
10,Exit long,2024-10-18 19:44,Close entry(s) order Long,68084.5,1,68200.5,-156.89,-0.23,306.54,0.45,-189.96,-0.28,-908.5,-0.01
10,Entry long,2024-10-18 19:30,Long,68200.5,1,68200.5,-156.89,-0.23,306.54,0.45,-189.96,-0.28,-908.5,-0.01
11,Exit long,2024-10-18 21:40,Close entry(s) order Long,68543,1,68571,-69.13,-0.10,298.43,0.44,-322.07,-0.47,-977.63,-0.01
11,Entry long,2024-10-18 20:04,Long,68571,1,68571,-69.13,-0.10,298.43,0.44,-322.07,-0.47,-977.63,-0.01
12,Exit long,2024-10-18 23:29,Close entry(s) order Long,68736.5,1,68904.5,-209.29,-0.30,0,0.00,-274.17,-0.40,-1186.92,-0.01
12,Entry long,2024-10-18 22:26,Long,68904.5,1,68904.5,-209.29,-0.30,0,0.00,-274.17,-0.40,-1186.92,-0.01
13,Exit long,2024-10-19 00:33,Close entry(s) order Long,68785.5,1,68952,-207.82,-0.30,55.31,0.08,-192.69,-0.28,-1394.74,-0.01
13,Entry long,2024-10-19 00:08,Long,68952,1,68952,-207.82,-0.30,55.31,0.08,-192.69,-0.28,-1394.74,-0.01
14,Exit short,2024-10-19 03:29,Close entry(s) order Short,68415.5,1,68591,134.4,0.20,334.42,0.49,-127.08,-0.19,-1260.35,-0.01
14,Entry short,2024-10-19 01:24,Short,68591,1,68591,134.4,0.20,334.42,0.49,-127.08,-0.19,-1260.35,-0.01
15,Exit short,2024-10-19 04:48,Close entry(s) order Short,68368.5,1,68217,-192.48,-0.28,0,0.00,-171.97,-0.25,-1452.82,-0.01
15,Entry short,2024-10-19 04:19,Short,68217,1,68217,-192.48,-0.28,0,0.00,-171.97,-0.25,-1452.82,-0.01
16,Exit long,2024-10-19 05:49,Close entry(s) order Long,68339,1,68457,-159.04,-0.23,2.96,0.00,-150.54,-0.22,-1611.86,-0.02
16,Entry long,2024-10-19 05:19,Long,68457,1,68457,-159.04,-0.23,2.96,0.00,-150.54,-0.22,-1611.86,-0.02
17,Exit long,2024-10-19 07:21,Close entry(s) order Long,68371.5,1,68462.5,-132.05,-0.19,0,0.00,-126.04,-0.18,-1743.91,-0.02
17,Entry long,2024-10-19 07:17,Long,68462.5,1,68462.5,-132.05,-0.19,0,0.00,-126.04,-0.18,-1743.91,-0.02
18,Exit long,2024-10-19 08:07,Close entry(s) order Long,68405,1,68474,-110.06,-0.16,0,0.00,-92.04,-0.13,-1853.97,-0.02
18,Entry long,2024-10-19 07:52,Long,68474,1,68474,-110.06,-0.16,0,0.00,-92.04,-0.13,-1853.97,-0.02
19,Exit long,2024-10-19 09:07,Close entry(s) order Long,68518,1,68519.5,-42.61,-0.06,168.94,0.25,-24.56,-0.04,-1896.59,-0.02
19,Entry long,2024-10-19 08:37,Long,68519.5,1,68519.5,-42.61,-0.06,168.94,0.25,-24.56,-0.04,-1896.59,-0.02
20,Exit short,2024-10-19 11:27,Close entry(s) order Short,68409.5,1,68396,-54.54,-0.08,54.48,0.08,-66.52,-0.10,-1951.13,-0.02
20,Entry short,2024-10-19 09:58,Short,68396,1,68396,-54.54,-0.08,54.48,0.08,-66.52,-0.10,-1951.13,-0.02
21,Exit long,2024-10-19 11:55,Close entry(s) order Long,68387.5,1,68443,-96.55,-0.14,0,0.00,-76.53,-0.11,-2047.68,-0.02
21,Entry long,2024-10-19 11:50,Long,68443,1,68443,-96.55,-0.14,0,0.00,-76.53,-0.11,-2047.68,-0.02
22,Exit short,2024-10-19 12:54,Close entry(s) order Short,68390.5,1,68353.5,-78.02,-0.11,38.49,0.06,-57.51,-0.08,-2125.7,-0.02
22,Entry short,2024-10-19 12:18,Short,68353.5,1,68353.5,-78.02,-0.11,38.49,0.06,-57.51,-0.08,-2125.7,-0.02
23,Exit long,2024-10-19 14:27,Close entry(s) order Long,68392.5,1,68427.5,-76.05,-0.11,36.97,0.05,-82.03,-0.12,-2201.75,-0.02
23,Entry long,2024-10-19 14:00,Long,68427.5,1,68427.5,-76.05,-0.11,36.97,0.05,-82.03,-0.12,-2201.75,-0.02
24,Exit short,2024-10-19 16:38,Close entry(s) order Short,68300.5,1,68339,-2.49,0.00,140.5,0.21,-73,-0.11,-2204.24,-0.02
24,Entry short,2024-10-19 15:31,Short,68339,1,68339,-2.49,0.00,140.5,0.21,-73,-0.11,-2204.24,-0.02
25,Exit short,2024-10-19 17:48,Close entry(s) order Short,68216.5,1,68157.5,-99.91,-0.15,48.05,0.07,-79.45,-0.12,-2304.15,-0.02
25,Entry short,2024-10-19 17:08,Short,68157.5,1,68157.5,-99.91,-0.15,48.05,0.07,-79.45,-0.12,-2304.15,-0.02
26,Exit long,2024-10-19 20:08,Close entry(s) order Long,68245,1,68292,-87.96,-0.13,54.51,0.08,-79.49,-0.12,-2392.11,-0.02
26,Entry long,2024-10-19 19:57,Long,68292,1,68292,-87.96,-0.13,54.51,0.08,-79.49,-0.12,-2392.11,-0.02
27,Exit short,2024-10-19 22:54,Close entry(s) order Short,68137,1,68149,-28.89,-0.04,103.06,0.15,-75.44,-0.11,-2421,-0.02
27,Entry short,2024-10-19 21:45,Short,68149,1,68149,-28.89,-0.04,103.06,0.15,-75.44,-0.11,-2421,-0.02
28,Exit long,2024-10-20 01:17,Close entry(s) order Long,68166,1,68176.5,-51.4,-0.08,60.05,0.09,-39.95,-0.06,-2472.4,-0.02
28,Entry long,2024-10-19 23:49,Long,68176.5,1,68176.5,-51.4,-0.08,60.05,0.09,-39.95,-0.06,-2472.4,-0.02
29,Exit long,2024-10-20 03:25,Close entry(s) order Long,68254.5,1,68266,-52.46,-0.08,59.02,0.09,-63.48,-0.09,-2524.86,-0.03
29,Entry long,2024-10-20 02:08,Long,68266,1,68266,-52.46,-0.08,59.02,0.09,-63.48,-0.09,-2524.86,-0.03
30,Exit short,2024-10-20 03:41,Close entry(s) order Short,68272.5,1,68226.5,-86.95,-0.13,0,0.00,-68.47,-0.10,-2611.8,-0.03
30,Entry short,2024-10-20 03:36,Short,68226.5,1,68226.5,-86.95,-0.13,0,0.00,-68.47,-0.10,-2611.8,-0.03
31,Exit long,2024-10-20 04:34,Close entry(s) order Long,68316,1,68347.5,-72.5,-0.11,57,0.08,-60.5,-0.09,-2684.3,-0.03
31,Entry long,2024-10-20 04:07,Long,68347.5,1,68347.5,-72.5,-0.11,57,0.08,-60.5,-0.09,-2684.3,-0.03
32,Exit long,2024-10-20 06:01,Close entry(s) order Long,68360,1,68447,-128.04,-0.19,0,0.00,-119.03,-0.17,-2812.35,-0.03
32,Entry long,2024-10-20 05:37,Long,68447,1,68447,-128.04,-0.19,0,0.00,-119.03,-0.17,-2812.35,-0.03
33,Exit short,2024-10-20 08:26,Close entry(s) order Short,68191.5,1,68265,32.56,0.05,127.02,0.19,-63.98,-0.09,-2779.78,-0.03
33,Entry short,2024-10-20 06:07,Short,68265,1,68265,32.56,0.05,127.02,0.19,-63.98,-0.09,-2779.78,-0.03
34,Exit short,2024-10-20 08:47,Close entry(s) order Short,68167,1,68118.5,-89.39,-0.13,3.56,0.01,-79.44,-0.12,-2869.17,-0.03
34,Entry short,2024-10-20 08:38,Short,68118.5,1,68118.5,-89.39,-0.13,3.56,0.01,-79.44,-0.12,-2869.17,-0.03
35,Exit long,2024-10-20 10:50,Close entry(s) order Long,68227.5,1,68209,-22.43,-0.03,104.04,0.15,-29.46,-0.04,-2891.6,-0.03
35,Entry long,2024-10-20 09:45,Long,68209,1,68209,-22.43,-0.03,104.04,0.15,-29.46,-0.04,-2891.6,-0.03
36,Exit short,2024-10-20 11:51,Close entry(s) order Short,68244,1,68179,-105.93,-0.16,0,0.00,-85.45,-0.13,-2997.53,-0.03
36,Entry short,2024-10-20 11:35,Short,68179,1,68179,-105.93,-0.16,0,0.00,-85.45,-0.13,-2997.53,-0.03
37,Exit long,2024-10-20 14:08,Close entry(s) order Long,68429,1,68324,63.97,0.09,171.5,0.25,-21.5,-0.03,-2933.55,-0.03
37,Entry long,2024-10-20 12:27,Long,68324,1,68324,63.97,0.09,171.5,0.25,-21.5,-0.03,-2933.55,-0.03
38,Exit short,2024-10-20 15:08,Close entry(s) order Short,68459,1,68366,-134.05,-0.20,0,0.00,-114.51,-0.17,-3067.6,-0.03
38,Entry short,2024-10-20 14:21,Short,68366,1,68366,-134.05,-0.20,0,0.00,-114.51,-0.17,-3067.6,-0.03
39,Exit short,2024-10-20 16:46,Close entry(s) order Short,68426,1,68378.5,-88.54,-0.13,0,0.00,-68.01,-0.10,-3156.14,-0.03
39,Entry short,2024-10-20 16:25,Short,68378.5,1,68378.5,-88.54,-0.13,0,0.00,-68.01,-0.10,-3156.14,-0.03
40,Exit short,2024-10-20 18:09,Close entry(s) order Short,68419.5,1,68375,-85.54,-0.13,10.99,0.02,-65.01,-0.10,-3241.68,-0.03
40,Entry short,2024-10-20 18:05,Short,68375,1,68375,-85.54,-0.13,10.99,0.02,-65.01,-0.10,-3241.68,-0.03
41,Exit short,2024-10-20 19:02,Close entry(s) order Short,68327,1,68300.5,-67.49,-0.10,76.51,0.11,-62.99,-0.09,-3309.17,-0.03
41,Entry short,2024-10-20 18:26,Short,68300.5,1,68300.5,-67.49,-0.10,76.51,0.11,-62.99,-0.09,-3309.17,-0.03
42,Exit long,2024-10-20 20:37,Close entry(s) order Long,68519,1,68474.5,3.4,0.00,281.46,0.41,-92.04,-0.13,-3305.77,-0.03
42,Entry long,2024-10-20 19:08,Long,68474.5,1,68474.5,3.4,0.00,281.46,0.41,-92.04,-0.13,-3305.77,-0.03
43,Exit short,2024-10-20 21:12,Close entry(s) order Short,68570,1,68381,-230.09,-0.34,0.49,0.00,-210.01,-0.31,-3535.85,-0.04
43,Entry short,2024-10-20 20:51,Short,68381,1,68381,-230.09,-0.34,0.49,0.00,-210.01,-0.31,-3535.85,-0.04
44,Exit short,2024-10-20 23:23,Close entry(s) order Short,68572,1,68486,-127.12,-0.19,50.95,0.07,-106.55,-0.16,-3662.97,-0.04
44,Entry short,2024-10-20 22:57,Short,68486,1,68486,-127.12,-0.19,50.95,0.07,-106.55,-0.16,-3662.97,-0.04
45,Exit long,2024-10-21 00:56,Close entry(s) order Long,68529.5,1,68655,-166.66,-0.24,0,0.00,-146.1,-0.21,-3829.62,-0.04
45,Entry long,2024-10-20 23:38,Long,68655,1,68655,-166.66,-0.24,0,0.00,-146.1,-0.21,-3829.62,-0.04
