Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,2022-10-21 13:39,Close entry(s) order Long,50756.55,1,50639.35,3037.34,0.17,9088.04,0.51,-694.46,-0.04,3037.34,0.03
1,Entry long,2022-10-21 11:30,Long,50639.35,1,50639.35,3037.34,0.17,9088.04,0.51,-694.46,-0.04,3037.34,0.03
2,Exit short,2022-10-21 15:18,Close entry(s) order Short,50668.2,1,50669.2,-1029.04,-0.06,5906.22,0.33,-1107.78,-0.06,2008.3,0.02
2,Entry short,2022-10-21 14:01,Short,50669.2,1,50669.2,-1029.04,-0.06,5906.22,0.33,-1107.78,-0.06,2008.3,0.02
3,Exit long,2022-10-25 09:54,Close entry(s) order Long,51149.1,1,51048.15,2460.18,0.14,12625.74,0.71,-2424.26,-0.14,4468.48,0.04
3,Entry long,2022-10-24 18:16,Long,51048.15,1,51048.15,2460.18,0.14,12625.74,0.71,-2424.26,-0.14,4468.48,0.04
4,Exit short,2022-10-25 11:59,Close entry(s) order Short,51059.2,1,51029.2,-2121.93,-0.12,526.44,0.03,-2515.06,-0.14,2346.55,0.02
4,Entry short,2022-10-25 11:12,Short,51029.2,1,51029.2,-2121.93,-0.12,526.44,0.03,-2515.06,-0.14,2346.55,0.02
5,Exit long,2022-10-25 12:35,Close entry(s) order Long,51059.2,1,51123.2,-3312.92,-0.19,0,0.00,-3126.79,-0.17,-966.36,-0.01
5,Entry long,2022-10-25 12:03,Long,51123.2,1,51123.2,-3312.92,-0.19,0,0.00,-3126.79,-0.17,-966.36,-0.01
6,Exit short,2022-10-25 13:21,Close entry(s) order Short,51072.2,1,51015.4,-3059.92,-0.17,0,0.00,-2553.41,-0.14,-4026.28,-0.04
6,Entry short,2022-10-25 13:14,Short,51015.4,1,51015.4,-3059.92,-0.17,0,0.00,-2553.41,-0.14,-4026.28,-0.04
7,Exit long,2022-10-25 15:00,Close entry(s) order Long,51153.25,1,51129.15,-230.47,-0.01,4133.89,0.23,-2342.86,-0.13,-4256.75,-0.04
7,Entry long,2022-10-25 13:47,Long,51129.15,1,51129.15,-230.47,-0.01,4133.89,0.23,-2342.86,-0.13,-4256.75,-0.04
8,Exit short,2022-10-27 09:16,Close entry(s) order Short,51204.25,1,51059.75,-6131.27,-0.34,4362.12,0.24,-11891.88,-0.67,-10388.02,-0.10
8,Entry short,2022-10-25 15:05,Short,51059.75,1,51059.75,-6131.27,-0.34,4362.12,0.24,-11891.88,-0.67,-10388.02,-0.10
9,Exit short,2022-10-27 12:56,Close entry(s) order Short,51174.2,1,51135.5,-2428.75,-0.14,733.58,0.04,-2379.67,-0.13,-12816.77,-0.13
9,Entry short,2022-10-27 12:20,Short,51135.5,1,51135.5,-2428.75,-0.14,733.58,0.04,-2379.67,-0.13,-12816.77,-0.13
10,Exit short,2022-10-27 15:01,Close entry(s) order Short,51162.35,1,51108.1,-2972.59,-0.17,1174.87,0.07,-2447.64,-0.14,-15789.36,-0.16
10,Entry short,2022-10-27 14:32,Short,51108.1,1,51108.1,-2972.59,-0.17,1174.87,0.07,-2447.64,-0.14,-15789.36,-0.16
11,Exit long,2022-10-28 09:51,Close entry(s) order Long,51141.75,1,51267.85,-5488.8,-0.31,1888.94,0.11,-5142.56,-0.29,-21278.16,-0.21
11,Entry long,2022-10-28 09:19,Long,51267.85,1,51267.85,-5488.8,-0.31,1888.94,0.11,-5142.56,-0.29,-21278.16,-0.21
12,Exit short,2022-10-28 12:40,Close entry(s) order Short,50941.35,1,51036.85,2271.73,0.13,7620.86,0.43,-1183.39,-0.07,-19006.44,-0.19
12,Entry short,2022-10-28 10:47,Short,51036.85,1,51036.85,2271.73,0.13,7620.86,0.43,-1183.39,-0.07,-19006.44,-0.19
13,Exit short,2022-10-28 14:25,Close entry(s) order Short,50810.05,1,50787.25,-1864.77,-0.10,1983.23,0.11,-2771.52,-0.16,-20871.21,-0.21
13,Entry short,2022-10-28 12:59,Short,50787.25,1,50787.25,-1864.77,-0.10,1983.23,0.11,-2771.52,-0.16,-20871.21,-0.21
14,Exit long,2022-10-31 10:09,Close entry(s) order Long,50991.15,1,50875.35,2983.4,0.17,11614.31,0.65,-1907.94,-0.11,-17887.8,-0.18
14,Entry long,2022-10-28 15:14,Long,50875.35,1,50875.35,2983.4,0.17,11614.31,0.65,-1907.94,-0.11,-17887.8,-0.18
15,Exit long,2022-10-31 12:52,Close entry(s) order Long,51083.75,1,51119.35,-2319.13,-0.13,826.5,0.05,-2425,-0.14,-20206.94,-0.20
15,Entry long,2022-10-31 11:23,Long,51119.35,1,51119.35,-2319.13,-0.13,826.5,0.05,-2425,-0.14,-20206.94,-0.20
16,Exit long,2022-10-31 13:45,Close entry(s) order Long,51125.65,1,51165.4,-2465.31,-0.14,584.51,0.03,-1977.49,-0.11,-22672.24,-0.23
16,Entry long,2022-10-31 13:03,Long,51165.4,1,51165.4,-2465.31,-0.14,584.51,0.03,-1977.49,-0.11,-22672.24,-0.23
17,Exit long,2022-11-01 11:29,Close entry(s) order Long,51461.85,1,51188.65,8484.17,0.47,11250.52,0.63,-2399.48,-0.13,-14188.07,-0.14
17,Entry long,2022-10-31 15:09,Long,51188.65,1,51188.65,8484.17,0.47,11250.52,0.63,-2399.48,-0.13,-14188.07,-0.14
18,Exit short,2022-11-01 13:52,Close entry(s) order Short,51243.8,1,51410.35,4751.38,0.26,11010.19,0.61,-816.31,-0.05,-9436.69,-0.09
18,Entry short,2022-11-01 12:07,Short,51410.35,1,51410.35,4751.38,0.26,11010.19,0.61,-816.31,-0.05,-9436.69,-0.09
19,Exit long,2022-11-01 14:57,Close entry(s) order Long,51131.4,1,51267.35,-5833.44,-0.33,0,0.00,-6162.81,-0.34,-15270.13,-0.15
19,Entry long,2022-11-01 14:49,Long,51267.35,1,51267.35,-5833.44,-0.33,0,0.00,-6162.81,-0.34,-15270.13,-0.15
20,Exit short,2022-11-01 15:02,Close entry(s) order Short,51153.95,1,51085.4,-3472.76,-0.19,0,0.00,-3826.4,-0.21,-18742.89,-0.19
20,Entry short,2022-11-01 14:58,Short,51085.4,1,51085.4,-3472.76,-0.19,0,0.00,-3826.4,-0.21,-18742.89,-0.19
21,Exit short,2022-11-02 14:36,Close entry(s) order Short,51007.35,1,51110.25,2529.27,0.14,5672.34,0.32,-1920.91,-0.11,-16213.63,-0.16
21,Entry short,2022-11-02 12:17,Short,51110.25,1,51110.25,2529.27,0.14,5672.34,0.32,-1920.91,-0.11,-16213.63,-0.16
22,Exit short,2022-11-03 09:27,Close entry(s) order Short,50895.8,1,50796.25,-4552.02,-0.26,0,0.00,-4371.11,-0.25,-20765.64,-0.21
22,Entry short,2022-11-03 09:16,Short,50796.25,1,50796.25,-4552.02,-0.26,0,0.00,-4371.11,-0.25,-20765.64,-0.21
23,Exit long,2022-11-03 11:42,Close entry(s) order Long,51141.35,1,51066.35,1551.82,0.09,7653.8,0.43,-2454.2,-0.14,-19213.82,-0.19
23,Entry long,2022-11-03 09:32,Long,51066.35,1,51066.35,1551.82,0.09,7653.8,0.43,-2454.2,-0.14,-19213.82,-0.19
24,Exit short,2022-11-03 13:12,Close entry(s) order Short,51156.1,1,51068.35,-4144.61,-0.23,0,0.00,-4039.72,-0.23,-23358.43,-0.23
24,Entry short,2022-11-03 12:55,Short,51068.35,1,51068.35,-4144.61,-0.23,0,0.00,-4039.72,-0.23,-23358.43,-0.23
25,Exit long,2022-11-03 13:57,Close entry(s) order Long,51136.65,1,51202.3,-3372.31,-0.19,1620.13,0.09,-3061.12,-0.17,-26730.74,-0.27
25,Entry long,2022-11-03 13:21,Long,51202.3,1,51202.3,-3372.31,-0.19,1620.13,0.09,-3061.12,-0.17,-26730.74,-0.27
26,Exit long,2022-11-04 09:36,Close entry(s) order Long,51195.85,1,51301.95,-4789.73,-0.27,1043.33,0.06,-4460.42,-0.25,-31520.47,-0.32
26,Entry long,2022-11-04 09:31,Long,51301.95,1,51301.95,-4789.73,-0.27,1043.33,0.06,-4460.42,-0.25,-31520.47,-0.32
27,Exit short,2022-11-04 11:28,Close entry(s) order Short,51030.35,1,51092,1085.47,0.06,5469.53,0.31,-2403.72,-0.13,-30435,-0.30
27,Entry short,2022-11-04 09:44,Short,51092,1,51092,1085.47,0.06,5469.53,0.31,-2403.72,-0.13,-30435,-0.30
28,Exit long,2022-11-04 12:41,Close entry(s) order Long,51012.35,1,51047.4,-2298.38,-0.13,179.75,0.01,-1762.75,-0.10,-32733.38,-0.33
28,Entry long,2022-11-04 12:27,Long,51047.4,1,51047.4,-2298.38,-0.13,179.75,0.01,-1762.75,-0.10,-32733.38,-0.33
29,Exit short,2022-11-04 13:00,Close entry(s) order Short,51010.35,1,50968.35,-2540.78,-0.14,0,0.00,-2362.17,-0.13,-35274.16,-0.35
29,Entry short,2022-11-04 12:47,Short,50968.35,1,50968.35,-2540.78,-0.14,0,0.00,-2362.17,-0.13,-35274.16,-0.35
30,Exit short,2022-11-04 14:16,Close entry(s) order Short,50978.05,1,50937.7,-2482.37,-0.14,504.65,0.03,-2692.6,-0.15,-37756.52,-0.38
30,Entry short,2022-11-04 14:11,Short,50937.7,1,50937.7,-2482.37,-0.14,504.65,0.03,-2692.6,-0.15,-37756.52,-0.38
31,Exit long,2022-11-07 10:50,Close entry(s) order Long,51359.2,1,51074.75,8880.19,0.50,17180.72,0.96,-536.28,-0.03,-28876.33,-0.29
31,Entry long,2022-11-04 15:06,Long,51074.75,1,51074.75,8880.19,0.50,17180.72,0.96,-536.28,-0.03,-28876.33,-0.29
32,Exit short,2022-11-07 12:26,Close entry(s) order Short,51335.35,1,51313.85,-1830.32,-0.10,1505.2,0.08,-2096.3,-0.12,-30706.64,-0.31
32,Entry short,2022-11-07 10:59,Short,51313.85,1,51313.85,-1830.32,-0.10,1505.2,0.08,-2096.3,-0.12,-30706.64,-0.31
33,Exit short,2022-11-07 14:01,Close entry(s) order Short,51292.8,1,51260.35,-2212.56,-0.12,1924.02,0.11,-1728.23,-0.10,-32919.2,-0.33
33,Entry short,2022-11-07 13:25,Short,51260.35,1,51260.35,-2212.56,-0.12,1924.02,0.11,-1728.23,-0.10,-32919.2,-0.33
34,Exit long,2022-11-09 10:41,Close entry(s) order Long,51621.4,1,51363.95,7929.4,0.44,12634.68,0.70,-542.82,-0.03,-24989.8,-0.25
34,Entry long,2022-11-07 14:24,Long,51363.95,1,51363.95,7929.4,0.44,12634.68,0.70,-542.82,-0.03,-24989.8,-0.25
35,Exit short,2022-11-09 12:31,Close entry(s) order Short,51618.35,1,51576,-2565.79,-0.14,667.7,0.04,-2265.3,-0.13,-27555.59,-0.28
35,Entry short,2022-11-09 12:12,Short,51576,1,51576,-2565.79,-0.14,667.7,0.04,-2265.3,-0.13,-27555.59,-0.28
36,Exit long,2022-11-09 14:40,Close entry(s) order Long,51654.35,1,51679.45,-1963.5,-0.11,3639.87,0.20,-1421.13,-0.08,-29519.09,-0.30
36,Entry long,2022-11-09 13:36,Long,51679.45,1,51679.45,-1963.5,-0.11,3639.87,0.20,-1421.13,-0.08,-29519.09,-0.30
37,Exit short,2022-11-09 15:05,Close entry(s) order Short,51695.35,1,51600.3,-4411.35,-0.24,926.45,0.05,-3868.55,-0.21,-33930.45,-0.34
37,Entry short,2022-11-09 14:45,Short,51600.3,1,51600.3,-4411.35,-0.24,926.45,0.05,-3868.55,-0.21,-33930.45,-0.34
38,Exit short,2022-11-10 11:35,Close entry(s) order Short,51333,1,51398.3,1206.82,0.07,4052.32,0.23,-2221.43,-0.12,-32723.63,-0.33
38,Entry short,2022-11-10 09:16,Short,51398.3,1,51398.3,1206.82,0.07,4052.32,0.23,-2221.43,-0.12,-32723.63,-0.33
39,Exit short,2022-11-10 13:19,Close entry(s) order Short,51258.3,1,51248.75,-1410.57,-0.08,2240.89,0.12,-1229.36,-0.07,-34134.2,-0.34
39,Entry short,2022-11-10 12:04,Short,51248.75,1,51248.75,-1410.57,-0.08,2240.89,0.12,-1229.36,-0.07,-34134.2,-0.34
