Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1,Exit short,2023-05-04 09:45:30,Close entry(s) order Short,51826.35,1,51810.85,-1630.69,-0.09,0,0.00,-1121.51,-0.06,-1630.69,-0.02
1,Entry short,2023-05-04 09:40:10,Short,51810.85,1,51810.85,-1630.69,-0.09,0,0.00,-1121.51,-0.06,-1630.69,-0.02
2,Exit short,2023-05-04 10:01:40,Close entry(s) order Short,51816.35,1,51793.9,-1873.66,-0.10,70.41,0.00,-1329.59,-0.07,-3504.35,-0.04
2,Entry short,2023-05-04 09:54:00,Short,51793.9,1,51793.9,-1873.66,-0.10,70.41,0.00,-1329.59,-0.07,-3504.35,-0.04
3,Exit long,2023-05-04 10:20:40,Close entry(s) order Long,51833.9,1,51829.5,-934.47,-0.05,0,0.00,-1168.96,-0.06,-4438.81,-0.04
3,Entry long,2023-05-04 10:04:10,Long,51829.5,1,51829.5,-934.47,-0.05,0,0.00,-1168.96,-0.06,-4438.81,-0.04
4,Exit long,2023-05-04 10:47:30,Close entry(s) order Long,51868.25,1,51850.05,-452.04,-0.02,726.07,0.04,-943.43,-0.05,-4890.86,-0.05
4,Entry long,2023-05-04 10:25:20,Long,51850.05,1,51850.05,-452.04,-0.02,726.07,0.04,-943.43,-0.05,-4890.86,-0.05
5,Exit long,2023-05-04 11:24:30,Close entry(s) order Long,51898.8,1,51895.8,-984.84,-0.05,310.84,0.02,-1050.66,-0.06,-5875.7,-0.06
5,Entry long,2023-05-04 10:59:00,Long,51895.8,1,51895.8,-984.84,-0.05,310.84,0.02,-1050.66,-0.06,-5875.7,-0.06
6,Exit short,2023-05-04 11:38:20,Close entry(s) order Short,51902.65,1,51877.85,-1957.7,-0.11,0,0.00,-1412.72,-0.08,-7833.39,-0.08
6,Entry short,2023-05-04 11:25:40,Short,51877.85,1,51877.85,-1957.7,-0.11,0,0.00,-1412.72,-0.08,-7833.39,-0.08
7,Exit long,2023-05-04 11:46:20,Close entry(s) order Long,51897.4,1,51915.3,-1716.53,-0.09,0,0.00,-1208.36,-0.07,-9549.93,-0.10
7,Entry long,2023-05-04 11:39:30,Long,51915.3,1,51915.3,-1716.53,-0.09,0,0.00,-1208.36,-0.07,-9549.93,-0.10
8,Exit short,2023-05-04 11:57:40,Close entry(s) order Short,51906.05,1,51884,-1861.55,-0.10,0,0.00,-1327.03,-0.07,-11411.47,-0.11
8,Entry short,2023-05-04 11:54:10,Short,51884,1,51884,-1861.55,-0.10,0,0.00,-1327.03,-0.07,-11411.47,-0.11
9,Exit long,2023-05-04 12:03:30,Close entry(s) order Long,51902.65,1,51914.35,-1499.58,-0.08,0,0.00,-1050.85,-0.06,-12911.05,-0.13
9,Entry long,2023-05-04 11:59:30,Long,51914.35,1,51914.35,-1499.58,-0.08,0,0.00,-1050.85,-0.06,-12911.05,-0.13
10,Exit short,2023-05-04 12:17:10,Close entry(s) order Short,51886.35,1,51885.7,-1112.36,-0.06,286.45,0.02,-1073.3,-0.06,-14023.41,-0.14
10,Entry short,2023-05-04 12:12:20,Short,51885.7,1,51885.7,-1112.36,-0.06,286.45,0.02,-1073.3,-0.06,-14023.41,-0.14
